item,path,parent,train_freq,beam_count,lp0,lp_last,lp_last_parent_centered,exposure_amplification
B002PEGT9U,25636 21242 6943 27341 1591,25636 21242 6943 27341,7,6,-22.412403106689453,-19.43621826171875,0.0,-2.123829197666657
B002PHYHWI,14351 21863 9336 19910 14656,14351 21863 9336 19910,3,8,-25.01999855041504,-20.787208557128906,0.0,-1.0934251590250792
B002PIAUYG,14295 10211 1846 29787 22434,14295 10211 1846 29787,5,24,-23.568416595458984,-19.39998435974121,0.0,-0.48680332871372656
B002PLNSRY,740 9722 4558 6373 2433,740 9722 4558 6373,10,125,-19.868757247924805,-12.574846267700195,0.0,0.5002021473823763
B002PUD6RC,3127 22215 4880 5075 663,3127 22215 4880 5075,8,32,-23.44185447692871,-18.07028579711914,0.0,-0.6395544281865622
B002PXP8XO,11109 21820 17132 6864 9979,11109 21820 17132 6864,5,3,-18.808513641357422,-21.440324783325195,0.0,-2.43271347776904
B002PZWJNE,11109 19239 7334 19075 28033,11109 19239 7334 19075,23,331,-24.52419090270996,-25.31644630432129,0.0,0.6658990344498203
B002Q4M3FS,3127 2738 8036 8437 17686,3127 2738 8036 8437,5,0,-20.49819564819336,-18.41366195678711,0.0,-4.3786236268243535
B002Q4M5PQ,3127 2738 11823 8489 3781,3127 2738 11823 8489,13,78,-21.650989532470703,-17.880231857299805,0.0,-0.22031941468200422
B002Q4U71K,740 19910 515 23968 23458,740 19910 515 23968,5,22,-23.71258544921875,-25.691280364990234,0.0,-0.5719611370540338
B002Q7283W,21677 1863 11572 635 954,21677 1863 11572 635,6,6,-22.623729705810547,-21.545644760131836,0.0,-1.9807283540259846
B002Q7BSK6,14351 16507 25642 2647 20340,14351 16507 25642 2647,5,25,-24.883020401000977,-28.776676177978516,0.0,-0.4467979941000273
B002Q7CKGC,17582 3270 6506 2851 6380,17582 3270 6506 2851,2,1,-20.483272552490234,-16.78851890563965,0.0,-2.491553977791975
B002Q7IE9O,2948 1312 1463 8525 10785,2948 1312 1463 8525,7,41,-22.76194190979004,-23.311954498291016,0.0,-0.26993794733159504
B002QB31AC,14351 17056 14552 1928 27441,14351 17056 14552 1928,4,7,-21.92786979675293,-23.680999755859375,0.0,-1.4699027302599923
B002QB47GY,14295 5807 12563 1489 27577,14295 5807 12563 1489,8,96,-23.09283447265625,-24.86752700805664,-1.9940929412841797,0.44874849082268575
B002QB48QS,14295 5807 12563 1489 1791 357,14295 5807 12563 1489 1791,6,80,-21.13430404663086,-15.015436172485352,-0.13409900665283203,0.5357266534969423
B002QB601Y,14295 5807 12563 1489 1791 632,14295 5807 12563 1489 1791,7,88,-20.72984504699707,-12.588685035705566,2.292652130126953,0.4873711774456364
B002QB9UIE,14295 5807 12563 1489 17526,14295 5807 12563 1489,6,48,-23.477893829345703,-26.792818069458008,-3.919384002685547,0.029033267015861952
B002QBDOJA,14295 5807 12563 1489 1791 519,14295 5807 12563 1489 1791,8,151,-21.206987380981445,-15.451539039611816,-0.5702018737792969,0.8997911074271698
B002QBDPTY,14295 5807 12563 1489 1791 536,14295 5807 12563 1489 1791,6,75,-20.93897247314453,-13.8434419631958,1.0378952026367188,0.4716021253274043
B002QCVY8W,740 3009 13248 11049 22993,740 3009 13248 11049,3,23,-22.251201629638672,-23.461477279663086,0.0,-0.07649090137123693
