dataset,sample_key,prefix,legal_children,teacher_mass_error
Beauty,A9LWDP1HECAU0:9:B0019IC2N0,0 18311 2825 2782,3,0.0
Beauty,A9QR13VO22ULU:2:B004VFXVJW,0,108,5.960464477539063e-08
Beauty,AA60IYPQY2D4P:10:B0000536M2,0 747,96,0.0
Beauty,AAEVYY0PHQUUL:21:B0061YRVOC,0,108,0.0
Beauty,AAEVYY0PHQUUL:55:B0094ELMBY,0 5432,91,0.0
Beauty,AB0X04XM7CLS2:13:B000G8LWZI,0 4194 4371,2,0.0
Beauty,AC3L4NSBMED4W:3:B003SSVKBY,0,108,5.960464477539063e-08
Beauty,ACEA95FQS1AVP:5:B003V265QW,0 14143,83,1.1920928955078125e-07
Beauty,AD1F4KBZPHB5X:4:B0057MHTAA,0 8552,98,0.0
Beauty,ADJAF7ZFZ25EG:3:B0049OLZ84,0 11477,255,0.0
Beauty,ADJPCFQ68XHGJ:5:B001E96NF2,0 25597,96,0.0
Beauty,AE60G5SYTQ5CW:2:B00A363EPO,0 18311,118,0.0
Beauty,AE7V92R2LVEJF:51:B0086LC0WG,0 19041 21826,3,0.0
Beauty,AF3EWORDT15AU:3:B001E7BEEE,0,108,0.0
Beauty,AF5AFMCBSALCM:1:B001DHNBYQ,0,108,0.0
Beauty,AFBESUJ74M910:5:B001ECQDVS,0 15496,89,0.0
Beauty,AG3G6Z8MA7KT6:15:B003Y5FHAQ,0 11477 21622,2,0.0
Beauty,AG8N1I1C0C0NG:1:B0048O2R1E,0,108,5.960464477539063e-08
Beauty,AHX4INECE3HQW:3:B005TI4L12,0 3690,4,0.0
Beauty,AJ105GCIU6C12:3:B00365DABC,0,108,0.0
Beauty,AJ317DXOHVBOS:5:B000AO2NXS,0 7704,14,5.960464477539063e-08
Beauty,AJM05EYT7T0KM:4:B001ET76E4,0 3575,87,0.0
Beauty,AJTSVIJY00BG5:2:B009EF9NFU,0 1043,126,0.0
