user_id	fold	history_group	target_popularity	target_source	baseline_rank	oof_rank	hit10_transition	oof_top10_new_gram_only	oof_top10_new_both	oof_top10_new_cf_only
A38GZDHGZASCYH	4	1-5	head	union_miss	51	91	stable_miss	0	1	0
A2HFYGE07M3ZJF	1	1-5	head	union_miss	51	91	stable_miss	1	0	0
A1X2LENOF84LCQ	2	1-5	head	union_miss	51	91	stable_miss	0	1	0
APZWKX3F1YX37	1	6-10	head	gram_only	43	60	stable_miss	0	0	0
AMBFK6N4JS5Z2	2	11-20	head	union_miss	51	91	stable_miss	0	3	0
A27LCANTGRS9HD	3	1-5	tail	union_miss	51	91	stable_miss	1	0	0
AYJOMM0DN8P1R	1	1-5	head	both	1	1	stable_hit	0	1	0
A4HF7T8L2D38B	4	1-5	middle	union_miss	51	91	stable_miss	0	2	0
AJPTLKQ9P0XTU	3	1-5	middle	union_miss	51	91	stable_miss	1	2	0
A1VSPP140RE4NM	2	1-5	head	union_miss	51	91	stable_miss	0	2	0
A3VFQD19OR0XN3	1	1-5	middle	gram_only	4	4	stable_hit	0	0	0
A3QB5GGUYO607J	0	1-5	tail	union_miss	51	91	stable_miss	0	0	1
A1NZWNXZRM4Q79	2	1-5	head	cf_only	51	58	stable_miss	0	1	0
A1R85OCIZCMYX1	0	1-5	middle	union_miss	51	91	stable_miss	0	0	2
APL0T0LY2Y0VR	0	1-5	middle	union_miss	51	91	stable_miss	0	3	0
A2VDSIII404UTO	2	6-10	tail	union_miss	51	91	stable_miss	0	1	1
A2YKS8WFJ6HOO9	2	1-5	tail	both	1	1	stable_hit	0	2	1
A1LOKZN3PV0KHW	4	1-5	head	gram_only	9	13	loss	0	2	1
A3F82G2IXMJEGO	0	1-5	middle	union_miss	51	91	stable_miss	0	2	0
A20N9RBXNIPZ4I	3	1-5	tail	union_miss	51	91	stable_miss	0	2	0
A30T3QA35IE88Q	3	6-10	tail	union_miss	51	91	stable_miss	0	1	0
A2XFJUAVUEHP7X	4	6-10	head	union_miss	51	91	stable_miss	0	1	0
ADF6DHCV8K2BC	2	1-5	middle	gram_only	13	23	stable_miss	0	3	0
A104QGECCAFCI9	0	1-5	middle	union_miss	51	91	stable_miss	0	1	0
A1R10Y7FKVY9DF	2	1-5	tail	both	1	1	stable_hit	0	0	1
A260487GNX1YAU	0	1-5	middle	union_miss	51	91	stable_miss	0	2	0
A7B3VXPB32I96	1	1-5	middle	both	14	9	gain	0	2	0
A2ZIFVMN1F35NZ	0	6-10	middle	union_miss	51	91	stable_miss	0	0	0
AV9M1PH5LUOM	3	11-20	middle	union_miss	51	91	stable_miss	0	1	1
A1H1ER8QYQVSIC	4	1-5	middle	union_miss	51	91	stable_miss	0	1	0
A3NG7X4APIV649	0	6-10	middle	union_miss	51	91	stable_miss	0	3	0
A25IBZXBHJOBA2	3	1-5	middle	union_miss	51	91	stable_miss	0	1	1
AW7VVW61YKZIQ	4	11-20	head	gram_only	22	53	stable_miss	2	1	0
A1PNT1D0OBHLPV	0	1-5	middle	gram_only	19	21	stable_miss	0	0	0
A11ZQQZ5XJ3QWH	4	1-5	middle	union_miss	51	91	stable_miss	0	1	0
A3JL3YQYI7OR5O	1	1-5	middle	union_miss	51	91	stable_miss	0	1	0
A1BCELALEBRHRN	0	1-5	middle	union_miss	51	91	stable_miss	0	0	1
AEUMX99O5E79A	2	1-5	tail	gram_only	28	30	stable_miss	0	3	0
A1SNUCX9Z7WRF3	1	1-5	tail	gram_only	36	31	stable_miss	0	0	1
A2RPZTZP8W80W	3	1-5	middle	union_miss	51	91	stable_miss	0	0	0
A32QWD5DEY4LDU	3	11-20	tail	union_miss	51	91	stable_miss	0	3	0
A21SESEJ8E52B7	4	1-5	head	both	37	33	stable_miss	0	2	0
ACPF5ZJFQ1ODK	3	1-5	middle	union_miss	51	91	stable_miss	0	0	1
ABZ74LUV5FMLB	4	1-5	tail	union_miss	51	91	stable_miss	0	2	1
A2ZY49IDE6TY5I	1	11-20	middle	union_miss	51	91	stable_miss	0	1	1
A1KOU9EM98MVG9	3	6-10	middle	union_miss	51	91	stable_miss	0	2	0
AH7EXK88CDMP9	2	1-5	middle	union_miss	51	91	stable_miss	1	0	1
A39Z2B6SZKCUZO	2	6-10	tail	union_miss	51	91	stable_miss	0	2	0
A3EHGFICMOIPBX	2	1-5	middle	union_miss	51	91	stable_miss	0	0	1
A2VPJDOF6UN6SN	4	1-5	middle	union_miss	51	91	stable_miss	1	2	0
A3VZRQPPTD21RD	4	1-5	head	union_miss	51	91	stable_miss	0	1	1
A2HGR9VKTF4P1D	3	1-5	middle	both	7	7	stable_hit	0	1	0
A13UZJNCBCQM7S	3	6-10	tail	union_miss	51	91	stable_miss	0	1	0
A3UFTG2J4MCIJT	2	6-10	head	union_miss	51	91	stable_miss	0	2	0
A22PKZZK5DSONS	4	1-5	tail	union_miss	51	91	stable_miss	0	2	0
A1VF5LN6SHFVFJ	4	11-20	middle	both	4	5	stable_hit	0	1	0
A28E692X2JEEDZ	3	6-10	middle	union_miss	51	91	stable_miss	0	3	0
ABLXCBRLM4SBN	2	1-5	middle	union_miss	51	91	stable_miss	0	0	0
A3R19DW01TMQ5Z	0	6-10	tail	union_miss	51	91	stable_miss	0	0	1
A3HDTWBLQS5VWQ	0	1-5	middle	union_miss	51	91	stable_miss	0	0	1
A3DUKBOFNCVOX8	4	6-10	middle	union_miss	51	91	stable_miss	0	0	0
A1L5GWCBYX07PT	1	1-5	tail	union_miss	51	91	stable_miss	0	1	0
A37D2TGTIXRV2N	0	11-20	middle	union_miss	51	91	stable_miss	0	2	0
ASOWZ5NOSV6NC	3	1-5	head	union_miss	51	91	stable_miss	0	0	0
AIICRAC7PAS57	2	1-5	tail	union_miss	51	91	stable_miss	0	1	0
APAZZ9W4H4F7M	1	1-5	middle	union_miss	51	91	stable_miss	0	2	0
A3TAF7M58DN46F	4	6-10	middle	union_miss	51	91	stable_miss	0	1	0
A26NSWOAKB86LM	1	6-10	tail	union_miss	51	91	stable_miss	0	2	0
A32UO176SXEBXX	3	1-5	head	union_miss	51	91	stable_miss	0	2	1
A177XBNQ3ZPBBI	3	11-20	head	union_miss	51	91	stable_miss	0	2	0
A1K3CXD5NL9HB4	1	1-5	head	union_miss	51	91	stable_miss	0	1	0
A27Q1X75QCWTID	2	6-10	tail	union_miss	51	91	stable_miss	0	1	1
A3QWC6OUH0JMI	1	1-5	middle	union_miss	51	91	stable_miss	0	0	0
A1X0JVM9QJAF7I	0	1-5	tail	union_miss	51	91	stable_miss	0	0	0
A33XE32OLAY7DW	3	1-5	middle	union_miss	51	91	stable_miss	1	0	1
A2D4FQHV506EPB	1	11-20	tail	gram_only	22	33	stable_miss	0	2	0
A1HKBGI59UP6IM	4	1-5	tail	gram_only	12	15	stable_miss	0	1	2
A1R2KTE4POIOVE	1	1-5	middle	gram_only	16	19	stable_miss	0	1	0
A2BJ9I0BQ1LH5S	2	1-5	head	union_miss	51	91	stable_miss	0	1	1
A3K5TJ1USJ3B51	3	6-10	head	union_miss	51	91	stable_miss	0	0	1
AIQTCLAMXS26O	1	1-5	middle	union_miss	51	91	stable_miss	0	1	0
A1XMD6DGGT9RUJ	3	1-5	middle	union_miss	51	91	stable_miss	0	4	0
A3K5FSC64MC2CQ	1	1-5	middle	union_miss	51	91	stable_miss	0	0	0
A3UTHCQS7RXV3A	0	6-10	middle	union_miss	51	91	stable_miss	0	1	1
A30HIH5U76OK6D	0	6-10	tail	union_miss	51	91	stable_miss	0	4	0
A39IW64JWDI7B3	3	6-10	tail	union_miss	51	91	stable_miss	0	1	1
