item,path,parent,train_freq,beam_count,lp0,lp_last,lp_last_parent_centered,exposure_amplification
B0037MK6AW,8181 12914 12435 483 16845 2198 1442,8181 12914 12435 483 16845 2198,7,12,-22.178791046142578,-16.965267181396484,0.0,-1.4399129196887213
B0037MKHB0,30551 7627 22562 28451 15136 5063 28668,30551 7627 22562 28451 15136 5063,4,5,-23.928787231445312,-32.235321044921875,0.0,-1.750067847992561
B0037MKHBA,21628 5397 2341 3361 19556 10788 2210,21628 5397 2341 3361 19556 10788,5,10,-24.387577056884766,-16.346288681030273,0.0,-1.3041113785296599
B0037MMES4,15629 11352 28663 1312 5109 15866 28038,15629 11352 28663 1312 5109 15866,4,5,-23.486801147460938,-28.01737403869629,0.0,-1.750067847992561
B0037MMQBO,6001 2618 2593 1427 22776 9114 18631,6001 2618 2593 1427 22776 9114,5,20,-21.000280380249023,-22.202861785888672,0.0,-0.6350617495487736
B0037MOMIO,3361 6033 13604 5108 5304 8254 11258,3361 6033 13604 5108 5304 8254,3,39,-24.34690284729004,-24.714866638183594,0.0,0.4727991599569972
B0037MQIT0,11477 2735 2618 1427 6885 21631 31224,11477 2735 2618 1427 6885 21631,26,9,-20.902109146118164,-20.917537689208984,0.0,-2.976591477840394
B0037O2J7I,11477 2463 1489 17164 25529 2073 7910,11477 2463 1489 17164 25529 2073,9,4,-22.83482551574707,-21.632539749145508,0.0,-2.697952945284932
B0037QGE9A,19831 4956 2110 1131 4642 15596 655,19831 4956 2110 1131 4642 15596,4,14,-19.154157638549805,-12.926329612731934,0.0,-0.7806672908044572
B0037T0YES,1453 24690 3519 19914 16538 7803 14469,1453 24690 3519 19914 16538 7803,7,34,-26.180219650268555,-28.7504940032959,0.0,-0.4246822399596617
B0037TM252,1453 19914 10503 3694 16538 5936 3115,1453 19914 10503 3694 16538 5936,12,27,-24.54417610168457,-18.79140281677246,0.0,-1.1622811830904407
B0037ZA4GU,27170 1111 11545 27622 14395 20425 4607,27170 1111 11545 27622 14395 20425,8,15,-23.5502872467041,-13.484280586242676,0.0,-1.3499646830257799
B0037ZH2T2,1678 19413 6215 15298 3918 7496 14270,1678 19413 6215 15298 3918 7496,5,11,-23.136262893676758,-32.34138107299805,0.0,-1.2131396003239328
B00380DF3S,8552 21509 800 9668 174 2602 1876,8552 21509 800 9668 174 2602,14,10,-21.405881881713867,-17.230249404907227,0.0,-2.2735119357177638
B00381A7OC,162 2726 142 3510 1440 5598 10758,162 2726 142 3510 1440 5598,3,32,-18.808080673217773,-16.839811325073242,0.0,0.2777385773856125
B00381A7OW,643 2726 142 3510 1440 1742 11989,643 2726 142 3510 1440 1742,5,11,-19.178203582763672,-17.427066802978516,0.0,-1.2131396003239328
B003824I2I,5949 10218 7977 3645 9363 26678 25661,5949 10218 7977 3645 9363 26678,8,1,-22.809757232666016,-20.85096549987793,0.0,-3.685339598842816
B00383XLTS,1580 2761 10672 5965 2805 2392 3654,1580 2761 10672 5965 2805 2392,3,20,-21.41805648803711,-19.57394790649414,0.0,-0.18307662580571638
B00384C3SW,16087 8797 22829 7903 11600 5676 9743,16087 8797 22829 7903 11600 5676,4,46,-22.887725830078125,-17.199621200561523,0.0,0.3846363723623245
B00384TLQE,887 4031 278 15968 8574 15946 4408,887 4031 278 15968 8574 15946,5,5,-21.847970962524414,-16.80006980895996,0.0,-1.9507385434547118
B00385WMH8,26190 8805 569 836 2898 3275 16753 536,26190 8805 569 836 2898 3275 16753,3,14,-17.45008087158203,-14.015313148498535,-0.5043492317199707,-0.5293528625235506
B00385WMHI,26190 8805 569 836 2898 3275 16753 632,26190 8805 569 836 2898 3275 16753,5,7,-17.323993682861328,-13.006614685058594,0.5043492317199707,-1.640583615150872
